miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)
MIRT438568	dme-miR-310-3p	Drosophila melanogaster	arm	31151	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	23821034
MIRT438566	dme-miR-311-3p	Drosophila melanogaster	arm	31151	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	23821034
MIRT438564	dme-miR-312-3p	Drosophila melanogaster	arm	31151	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	23821034
MIRT438562	dme-miR-313-3p	Drosophila melanogaster	arm	31151	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	23821034
MIRT001976	dme-miR-8-3p	Drosophila melanogaster	CG32767	31430	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	18824696
MIRT437346	dme-miR-14-3p	Drosophila melanogaster	IP3K2	32285	Drosophila melanogaster	Western blot	Functional MTI	25306920
MIRT006656	dme-miR-279-3p	Drosophila melanogaster	os	32813	Drosophila melanogaster	Immunocytochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	22305007
MIRT003740	dme-miR-9a-5p	Drosophila melanogaster	Bx	32846	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	19162004
MIRT002282	dme-miR-12-5p	Drosophila melanogaster	fu	32855	Drosophila melanogaster	GFP reporter assay	Functional MTI	18493062
MIRT002886	dme-miR-1-3p	Drosophila melanogaster	CG17065	33026	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT002888	dme-miR-1-3p	Drosophila melanogaster	CG11377	33166	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT007056	dme-miR-5-5p	Drosophila melanogaster	smo	33196	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	23085394
MIRT002284	dme-miR-12-5p	Drosophila melanogaster	smo	33196	Drosophila melanogaster	GFP reporter assay	Functional MTI	18493062
MIRT002281	dme-miR-283-5p	Drosophila melanogaster	smo	33196	Drosophila melanogaster	GFP reporter assay	Functional MTI	18493062
MIRT004435	dme-miR-278-3p	Drosophila melanogaster	ex	33218	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	20216554
MIRT004435	dme-miR-278-3p	Drosophila melanogaster	ex	33218	Drosophila melanogaster	GFP reporter assay//Luciferase reporter assay//qRT-PCR	Functional MTI	16481470
MIRT000004	dme-miR-8-3p	Drosophila melanogaster	ush	33225	Drosophila melanogaster	qRT-PCR//Luciferase reporter assay//Western blot	Functional MTI	20005803
MIRT005334	dme-miR-316-5p	Drosophila melanogaster	IA-2	33277	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15738385
MIRT005372	dme-miR-7-5p	Drosophila melanogaster	aop	33392	Drosophila melanogaster	GFP reporter assay//Immunohistochemistry//In situ hybridization//Reporter assay	Functional MTI	16377567
MIRT053169	dme-miR-7-5p	Drosophila melanogaster	ihog	33972	Drosophila melanogaster	Luciferase reporter assay//qRT-PCR	Functional MTI	23667323
MIRT005351	dme-miR-92b-3p	Drosophila melanogaster	ab	34560	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15943864
MIRT001903	dme-let-7-5p	Drosophila melanogaster	ab	34560	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15943864
MIRT001877	dme-miR-317-3p	Drosophila melanogaster	yellow-c	34879	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15738385
MIRT006643	dme-miR-279-3p	Drosophila melanogaster	esg	34903	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	22049409
MIRT001891	dme-miR-278-3p	Drosophila melanogaster	tup	35147	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15738385
MIRT002356	dme-miR-14-3p	Drosophila melanogaster	EcR	35540	Drosophila melanogaster	Western blot//Luciferase reporter assay	Functional MTI	17761811
MIRT005002	dme-miR-12-5p	Drosophila melanogaster	cos	35653	Drosophila melanogaster	GFP reporter assay	Functional MTI	18493062
MIRT005003	dme-miR-283-5p	Drosophila melanogaster	cos	35653	Drosophila melanogaster	GFP reporter assay	Functional MTI	18493062
MIRT035561	dme-miR-124-3p	Drosophila melanogaster	ana	35913	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	22378639
MIRT053187	dme-miR-92b-3p	Drosophila melanogaster	Mef2	36032	Drosophila melanogaster	Immunoblot//Immunohistochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR	Functional MTI	22899845
MIRT054316	dme-miR-92a-3p	Drosophila melanogaster	sha	36213	Drosophila melanogaster	GFP reporter assay	Functional MTI	23051640
MIRT054317	dme-miR-92b-3p	Drosophila melanogaster	sha	36213	Drosophila melanogaster	GFP reporter assay	Functional MTI	23051640
MIRT006030	dme-miR-14-3p	Drosophila melanogaster	sug	36424	Drosophila melanogaster	GFP reporter assay//Luciferase reporter assay//Microarray//qRT-PCR	Functional MTI	21159815
MIRT438053	dme-miR-8-3p	Drosophila melanogaster	ena	37201	Drosophila melanogaster	GFP reporter assay//Immunohistochemistry//Western blot	Functional MTI	24718988
MIRT003745	dme-miR-8-3p	Drosophila melanogaster	Cpr56F	37299	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17923093
MIRT005332	dme-miR-303-5p	Drosophila melanogaster	Fit1	38488	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15738385
MIRT005074	dme-miR-1-3p	Drosophila melanogaster	Chd64	38490	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT005073	dme-miR-1-3p	Drosophila melanogaster	Msr-110	38629	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT438519	dme-miR-998-3p	Drosophila melanogaster	Cbl	38961	Drosophila melanogaster	Microarray//qRT-PCR	Functional MTI (Weak)	25058496
MIRT006579	dme-miR-7-5p	Drosophila melanogaster	h	38995	Drosophila melanogaster	GFP reporter assay//Reporter assay	Functional MTI	14691535
MIRT005333	dme-miR-288-3p	Drosophila melanogaster	dpr10	39180	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15738385
MIRT001978	dme-miR-8-3p	Drosophila melanogaster	wls	39259	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	18824696
MIRT001978	dme-miR-8-3p	Drosophila melanogaster	wls	39259	Drosophila melanogaster	Luciferase reporter assay//Western blot	Functional MTI	20216554
MIRT001897	dme-miR-12-5p	Drosophila melanogaster	rt	39297	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15738385
MIRT002881	dme-miR-1-3p	Drosophila melanogaster	crim	39321	Drosophila melanogaster	Microarray//Luciferase reporter assay	Functional MTI	17592038
MIRT002849	dme-miR-4-3p	Drosophila melanogaster	Tom	39619	Drosophila melanogaster	GFP reporter assay	Functional MTI	15833912
MIRT002849	dme-miR-4-3p	Drosophila melanogaster	Tom	39619	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT002852	dme-miR-7-5p	Drosophila melanogaster	Tom	39619	Drosophila melanogaster	GFP reporter assay//Reporter assay;Other	Functional MTI	15833912
MIRT002852	dme-miR-7-5p	Drosophila melanogaster	Tom	39619	Drosophila melanogaster	Reporter assay	Functional MTI	16330759
MIRT001860	dme-miR-92b-3p	Drosophila melanogaster	CrebA	39682	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15943864
MIRT001879	dme-miR-312-3p	Drosophila melanogaster	CrebA	39682	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15943864
MIRT002003	dme-miR-315-5p	Drosophila melanogaster	Notum	39751	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17989227
MIRT002992	dme-miR-8-3p	Drosophila melanogaster	CG13060	39802	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17923093
MIRT002891	dme-miR-1-3p	Drosophila melanogaster	Nedd4	39958	Drosophila melanogaster	Microarray//Luciferase reporter assay//Western blot	Functional MTI	17592038
MIRT001875	dme-miR-34-5p	Drosophila melanogaster	Eip74EF	39962	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15943864
MIRT004775	dme-miR-6-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT005649	dme-miR-11-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Luciferase reporter assay	Non-Functional MTI	15989958
MIRT005648	dme-miR-13b-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//qRT-PCR	Non-Functional MTI	15989958
MIRT005512	dme-miR-263a-5p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Immunocytochemistry//Luciferase reporter assay	Functional MTI	20563308
MIRT005515	dme-miR-263b-5p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Immunocytochemistry//Luciferase reporter assay	Functional MTI	20563308
MIRT003747	dme-bantam-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17893677
MIRT003747	dme-bantam-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Northern blot	Functional MTI	12679032
MIRT003747	dme-bantam-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15738385
MIRT005650	dme-miR-308-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//Luciferase reporter assay	Non-Functional MTI	15989958
MIRT005647	dme-miR-2c-3p	Drosophila melanogaster	W	40009	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//qRT-PCR	Non-Functional MTI	15989958
MIRT002984	dme-miR-2a-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17893677
MIRT002984	dme-miR-2a-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay	Functional MTI	14691535
MIRT002984	dme-miR-2a-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT002859	dme-miR-2b-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay	Functional MTI	15723116
MIRT004085	dme-miR-6-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay	Non-Functional MTI	15723116
MIRT001899	dme-miR-11-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay	Non-Functional MTI	15723116
MIRT001899	dme-miR-11-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT004777	dme-miR-13a-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT001881	dme-miR-308-3p	Drosophila melanogaster	grim	40014	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT002983	dme-miR-2a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	17893677
MIRT002983	dme-miR-2a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	GFP reporter assay	Functional MTI	14691535
MIRT002983	dme-miR-2a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT002983	dme-miR-2a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	Luciferase reporter assay//Northern blot	Functional MTI	17507927
MIRT001868	dme-miR-6-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT005651	dme-miR-11-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	Luciferase reporter assay	Functional MTI	15989958
MIRT004776	dme-miR-13a-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT005652	dme-miR-308-3p	Drosophila melanogaster	rpr	40015	Drosophila melanogaster	Luciferase reporter assay	Non-Functional MTI	15989958
MIRT002864	dme-miR-2a-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay	Functional MTI	14691535
MIRT002858	dme-miR-2b-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay	Functional MTI	15723116
MIRT002858	dme-miR-2b-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT002857	dme-miR-6-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay	Functional MTI	15723116
MIRT002857	dme-miR-6-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT001898	dme-miR-11-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay	Non-Functional MTI	15723116
MIRT001898	dme-miR-11-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
MIRT001893	dme-miR-13b-3p	Drosophila melanogaster	skl	40016	Drosophila melanogaster	GFP reporter assay//In situ hybridization//Luciferase reporter assay//Northern blot	Functional MTI	15989958
